Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
R Rice,BAL,18,63,3.5,3,6,33.3,12,0,0
S Jackson,STL,25,159,6.4,2,6,24.0,32,0,0
L McCoy,PHI,30,185,6.2,2,12,40.0,34,0,0
M Morris,DET,13,58,4.5,1,4,30.8,12,0,0
M Schaub,HOU,1,2,2.0,1,1,100.0,2,0,0
F Gore,SF,31,134,4.3,1,4,12.9,26,0,0
N Washington,TEN,1,3,3.0,1,1,100.0,3,0,0
M Jones-Drew,JAX,18,63,3.5,1,3,16.7,10,0,0
M Lynch,SEA,16,24,1.5,1,4,25.0,9,1,1
J Battle,KC,19,70,3.7,1,5,26.3,18,0,0
A Peterson,MIN,20,83,4.2,1,6,30.0,15,0,0
P Thomas,NO,7,23,3.3,1,2,28.6,9,0,0
M Moore,MIA,5,31,6.2,1,3,60.0,16,0,0
S Slaton,MIA,5,7,1.4,1,1,20.0,4,0,0
D Brown,IND,10,33,3.3,1,1,10.0,9,0,0
P Harvin,MIN,4,19,4.8,1,1,25.0,10,0,0
B Wells,ARZ,22,83,3.8,1,6,27.3,16,0,0
A Foster,HOU,33,112,3.4,1,5,15.2,14,0,0
C Brinkley,SD,10,43,4.3,1,2,20.0,6,0,0
M Hasselbeck,TEN,1,-1,-1.0,0,0,0.0,-1,0,0
K Faulk,NE,6,32,5.3,0,1,16.7,9,0,0
R Williams,BAL,4,29,7.3,0,1,25.0,24,0,0
T Jones,KC,5,10,2.0,0,0,0.0,4,0,0
M Vick,PHI,7,50,7.1,0,3,42.9,15,0,0
A Feeley,STL,2,5,2.5,0,1,50.0,6,0,0
D Brees,NO,1,-1,-1.0,0,0,0.0,-1,0,0
S Smith,CAR,1,12,12.0,0,1,100.0,12,0,0
D Stallworth,WSH,1,2,2.0,0,0,0.0,2,0,0
C Taylor,ARZ,1,3,3.0,0,0,0.0,3,0,0
N Burleson,DET,1,9,9.0,0,0,0.0,9,0,0
T Romo,DAL,1,9,9.0,0,0,0.0,9,0,0
M Moore,PIT,1,16,16.0,0,1,100.0,16,0,0
E Manning,NYG,4,-3,-0.8,0,0,0.0,0,1,0
B Roethlisberger,PIT,2,1,0.5,0,0,0.0,2,0,0
P Rivers,SD,3,1,0.3,0,0,0.0,2,1,1
R Fitzpatrick,BUF,3,4,1.3,0,0,0.0,5,1,1
R Brown,PHI,1,4,4.0,0,0,0.0,4,0,0
S Hill,DET,1,-1,-1.0,0,0,0.0,-1,0,0
M Cassel,KC,2,14,7.0,0,1,50.0,7,0,0
B Jacobs,NYG,4,10,2.5,0,0,0.0,5,0,0
D Sproles,NO,6,16,2.7,0,0,0.0,6,0,0
A Smith,SF,4,22,5.5,0,2,50.0,9,0,0
C Williams,STL,2,0,0.0,0,0,0.0,0,0,0
T Jackson,SEA,1,2,2.0,0,0,0.0,2,0,0
R Bush,MIA,15,103,6.9,0,3,20.0,35,0,0
B Smith,BUF,4,14,3.5,0,1,25.0,6,0,0
L Washington,SEA,2,34,17.0,0,1,50.0,28,0,0
C Whitehurst,SEA,1,1,1.0,0,0,0.0,1,0,0
D Williams,CAR,7,26,3.7,0,2,28.6,12,0,0
F Jackson,BUF,26,120,4.6,0,4,15.4,43,0,0
