Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Foster,HOU,25,115,4.6,2,7,28.0,17,0,0
S Jackson,STL,18,70,3.9,1,4,22.2,40,0,0
M Barber,CHI,6,39,6.5,1,2,33.3,29,0,0
D Sproles,NO,12,88,7.3,1,5,41.7,16,0,0
J Beck,WSH,3,10,3.3,1,1,33.3,7,0,0
A Peterson,MIN,24,175,7.3,1,8,33.3,54,0,0
L McClain,KC,1,1,1.0,1,1,100.0,1,0,0
M Ryan,ATL,3,2,0.7,1,1,33.3,2,0,0
M Forte,CHI,25,145,5.8,1,6,24.0,32,0,0
M Tolbert,SD,11,58,5.3,1,4,36.4,29,0,0
J Stewart,CAR,14,68,4.9,1,3,21.4,29,1,0
J Arenas,KC,1,7,7.0,1,1,100.0,7,0,0
A Smith,ARZ,5,17,3.4,1,2,40.0,11,0,0
D Murray,DAL,25,253,10.1,1,9,36.0,91,0,0
P Tanner,DAL,6,34,5.7,1,3,50.0,17,0,0
D Carter,IND,10,89,8.9,1,3,30.0,42,1,1
J Collins,NO,1,1,1.0,1,1,100.0,1,0,0
C Newton,CAR,10,59,5.9,1,3,30.0,25,0,0
J Kitna,DAL,1,-1,-1.0,0,0,0.0,-1,0,0
R Williams,BAL,3,5,1.7,0,0,0.0,4,0,0
T Jones,KC,9,19,2.1,0,2,22.2,14,0,0
A Feeley,STL,1,-1,-1.0,0,0,0.0,-1,0,0
L Tomlinson,NYJ,5,14,2.8,0,1,20.0,9,0,0
S Smith,CAR,1,6,6.0,0,0,0.0,6,0,0
M Morris,DET,9,50,5.6,0,1,11.1,31,0,0
N Burleson,DET,2,10,5.0,0,1,50.0,10,0,0
K Boller,OAK,4,29,7.3,0,1,25.0,20,1,0
W McGahee,DEN,18,76,4.2,0,3,16.7,12,1,1
V Leach,BAL,1,1,1.0,0,0,0.0,1,0,0
M Moore,PIT,6,26,4.3,0,1,16.7,9,0,0
B Roethlisberger,PIT,2,-2,-1.0,0,0,0.0,-1,0,0
P Rivers,SD,1,-1,-1.0,0,0,0.0,-1,0,0
M Turner,ATL,27,122,4.5,0,2,7.4,50,0,0
E Graham,TB,2,13,6.5,0,0,0.0,9,0,0
D Ward,HOU,5,7,1.4,0,0,0.0,5,0,0
A Rodgers,GB,2,8,4.0,0,0,0.0,9,0,0
M Cassel,KC,2,-2,-1.0,0,0,0.0,-1,0,0
H Miller,PIT,1,6,6.0,0,1,100.0,6,0,0
C Williams,STL,2,1,0.5,0,0,0.0,1,0,0
D Hester,CHI,1,-6,-6.0,0,0,0.0,-6,0,0
L Vickers,HOU,1,0,0.0,0,0,0.0,0,0,0
J Cutler,CHI,1,-1,-1.0,0,0,0.0,-1,0,0
J Addai,IND,2,8,4.0,0,0,0.0,7,0,0
R Bush,MIA,10,42,4.2,0,2,20.0,12,0,0
L Washington,SEA,7,39,5.6,0,1,14.3,11,0,0
J Kuhn,GB,1,1,1.0,0,0,0.0,1,0,0
C Whitehurst,SEA,1,6,6.0,0,1,100.0,6,0,0
D Williams,CAR,10,35,3.5,0,2,20.0,8,0,0
M Jones-Drew,JAX,30,105,3.5,0,3,10.0,12,2,1
R Grant,GB,9,29,3.2,0,2,22.2,8,0,0
