Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
B Wells,ARZ,27,138,5.1,3,7,25.9,39,1,0
M Turner,ATL,26,70,2.7,2,5,19.2,21,0,0
A Rodgers,GB,9,36,4.0,2,3,33.3,11,0,0
C Newton,CAR,8,35,4.4,2,4,50.0,14,1,0
M Barber,CHI,5,17,3.4,1,2,40.0,10,0,0
B Jacobs,NYG,9,18,2.0,1,1,11.1,7,0,0
F Gore,SF,15,127,8.5,1,7,46.7,40,0,0
F Jackson,BUF,17,66,3.9,1,5,29.4,21,0,0
M Lynch,SEA,8,24,3.0,1,1,12.5,11,0,0
A Bradshaw,NYG,12,39,3.3,1,4,33.3,13,0,0
M Forte,CHI,25,205,8.2,1,7,28.0,46,0,0
R Torain,WSH,19,135,7.1,1,5,26.3,39,1,0
M Bush,OAK,8,26,3.3,1,3,37.5,9,0,0
B Green-Ellis,NE,16,75,4.7,1,6,37.5,15,0,0
R Mendenhall,PIT,9,25,2.8,1,3,33.3,9,0,0
M Tolbert,SD,6,17,2.8,1,2,33.3,11,0,0
R Rice,BAL,25,66,2.6,1,3,12.0,10,0,0
L Hilliard,MIA,6,20,3.3,1,2,33.3,4,0,0
J Freeman,TB,6,27,4.5,1,4,66.7,12,0,0
A Foster,HOU,30,155,5.2,1,7,23.3,42,0,0
L Blount,TB,25,127,5.1,1,4,16.0,35,0,0
A Dalton,CIN,3,12,4.0,1,2,66.7,6,0,0
S Ridley,NE,10,97,9.7,1,4,40.0,33,0,0
J Collins,NO,1,1,1.0,1,1,100.0,1,0,0
M Hasselbeck,TEN,1,5,5.0,0,1,100.0,5,0,0
R Williams,BAL,12,49,4.1,0,2,16.7,9,1,1
D McNabb,MIN,1,0,0.0,0,0,0.0,0,1,0
T Brady,NE,1,-1,-1.0,0,0,0.0,-1,0,0
T Jones,KC,11,37,3.4,0,1,9.1,12,0,0
M Vick,PHI,8,75,9.4,0,3,37.5,24,0,0
D Brees,NO,3,10,3.3,0,0,0.0,6,0,0
L Tomlinson,NYJ,3,-3,-1.0,0,0,0.0,1,0,0
R Grossman,WSH,5,2,0.4,0,1,20.0,2,0,0
M Schaub,HOU,2,1,0.5,0,1,50.0,2,0,0
W McGahee,DEN,15,103,6.9,0,3,20.0,28,0,0
S Jackson,STL,17,45,2.6,0,1,5.9,13,0,0
M Moore,PIT,4,34,8.5,0,2,50.0,15,0,0
E Manning,NYG,3,-3,-1.0,0,0,0.0,-1,0,0
B Roethlisberger,PIT,2,11,5.5,0,1,50.0,8,0,0
P Rivers,SD,5,18,3.6,0,2,40.0,15,0,0
E Graham,TB,2,24,12.0,0,1,50.0,20,0,0
C Benson,CIN,19,104,5.5,0,6,31.6,28,0,0
K Orton,KC,2,7,3.5,0,1,50.0,8,0,0
R Fitzpatrick,BUF,1,5,5.0,0,0,0.0,5,0,0
R Brown,PHI,3,15,5.0,0,1,33.3,15,1,1
M Cassel,KC,4,20,5.0,0,1,25.0,11,0,0
D Sproles,NO,7,75,10.7,0,4,57.1,34,0,0
A Smith,SF,1,-1,-1.0,0,0,0.0,-1,0,0
J Cutler,CHI,1,2,2.0,0,0,0.0,2,0,0
J Addai,IND,11,41,3.7,0,1,9.1,9,0,0
