Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
J Norwood,CLE,1,51,2,51.0,0,1,100.0,51,0,0
D Aromashodu,MIN,1,42,4,42.0,0,1,100.0,42,0,0
A Boldin,BAL,1,35,2,35.0,1,1,100.0,35,0,0
J Knox,CHI,3,97,5,32.3,1,3,100.0,42,0,0
D Williams,CAR,1,32,1,32.0,0,1,100.0,32,0,0
L Hawkins,TEN,1,32,5,32.0,0,1,100.0,32,0,0
M Williams,SEA,2,62,5,31.0,0,1,50.0,55,0,0
J Finley,GB,1,30,3,30.0,0,1,100.0,30,0,0
J Witten,DAL,3,85,3,28.3,1,2,66.7,59,1,0
T Smith,BAL,6,165,7,27.5,1,5,83.3,49,0,0
D Young,WSH,1,27,2,27.0,0,1,100.0,27,0,0
E Bennett,CHI,3,75,9,25.0,0,3,100.0,34,0,0
B Green-Ellis,NE,1,25,2,25.0,0,1,100.0,25,0,0
R Gronkowski,NE,4,96,7,24.0,2,3,75.0,52,0,0
V Jackson,SD,7,165,9,23.6,1,6,85.7,47,0,0
D Anderson,WSH,1,23,3,23.0,0,1,100.0,23,0,0
H Nicks,NYG,3,69,7,23.0,0,1,33.3,47,0,0
D Bryant,DAL,3,68,8,22.7,1,3,100.0,26,0,0
V Cruz,NYG,6,128,10,21.3,1,5,83.3,47,0,0
V Shiancoe,MIN,2,42,3,21.0,0,1,50.0,37,0,0
R White,ATL,7,147,14,21.0,0,5,71.4,43,0,0
A Caldwell,CIN,3,63,9,21.0,1,1,33.3,49,0,0
J Nelson,GB,6,123,7,20.5,2,6,100.0,40,0,0
P Parker,TB,1,20,2,20.0,0,1,100.0,20,0,0
D Baldwin,SEA,3,60,5,20.0,0,3,100.0,35,0,0
J Simpson,CIN,8,152,13,19.0,0,5,62.5,47,0,0
B Hartline,MIA,1,19,2,19.0,0,1,100.0,19,0,0
D Thomas,DEN,2,37,6,18.5,0,1,50.0,28,0,0
D Driver,GB,4,72,5,18.0,0,3,75.0,35,0,0
D Rosario,DEN,1,18,1,18.0,0,1,100.0,18,0,0
C Johnson,DET,5,89,8,17.8,0,3,60.0,30,0,0
C Clay,MIA,4,69,4,17.3,1,3,75.0,46,0,0
M Crabtree,SF,7,120,10,17.1,0,5,71.4,38,0,0
J Holley,DAL,1,17,1,17.0,0,1,100.0,17,0,0
A Roberts,ARZ,3,51,9,17.0,0,1,33.3,45,0,0
B LaFell,CAR,3,51,5,17.0,0,2,66.7,22,0,0
J Gaffney,WSH,7,115,10,16.4,1,5,71.4,28,0,0
J Hill,JAX,3,49,7,16.3,0,3,100.0,28,0,0
P Burress,NYJ,4,64,9,16.0,0,3,75.0,30,0,0
J Gresham,CIN,3,48,6,16.0,0,2,66.7,24,0,0
D Williams,TEN,1,16,11,16.0,0,1,100.0,16,0,0
G Tate,SEA,1,16,3,16.0,0,0,0.0,16,0,0
A Gates,SD,4,63,4,15.8,1,4,100.0,26,0,0
K Smith,DET,4,61,4,15.3,1,2,50.0,28,0,0
R Cooper,PHI,5,75,12,15.0,1,4,80.0,23,0,0
A Benn,TB,5,75,6,15.0,0,2,40.0,37,0,0
K Hunter,SF,1,15,1,15.0,0,1,100.0,15,0,0
T Gonzalez,ATL,5,74,6,14.8,1,4,80.0,19,0,0
K Winslow,TB,9,132,11,14.7,0,8,88.9,37,0,0
D Jackson,PHI,6,88,8,14.7,0,3,50.0,32,0,0
