Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Aromashodu,MIN,2,81,5,40.5,0,2,100.0,60,0,0
M Floyd,SD,3,100,7,33.3,1,3,100.0,42,0,0
R Mundy,PIT,1,33,1,33.0,0,1,100.0,33,0,0
K Sperry,SD,1,32,1,32.0,0,1,100.0,32,0,0
J Jones,GB,5,140,7,28.0,1,3,60.0,70,0,0
S Smith,CAR,3,79,7,26.3,1,2,66.7,54,0,0
C Johnson,DET,5,130,6,26.0,1,5,100.0,73,0,0
P Garcon,IND,5,125,8,25.0,2,4,80.0,67,0,0
A Collie,IND,2,50,2,25.0,0,2,100.0,27,0,0
W Welker,NE,5,124,8,24.8,0,4,80.0,73,0,0
J Ballard,NYG,3,72,4,24.0,1,3,100.0,32,0,0
J Hill,JAX,5,118,8,23.6,1,3,60.0,74,0,0
A Foster,HOU,5,116,7,23.2,0,4,80.0,60,0,0
J Dreessen,HOU,5,112,9,22.4,1,2,40.0,56,0,0
D Ware,NYG,1,22,1,22.0,0,1,100.0,22,0,0
G Jennings,GB,4,82,5,20.5,1,3,75.0,39,0,0
V Cruz,NYG,8,161,11,20.1,1,3,37.5,68,1,1
V Shiancoe,MIN,1,20,6,20.0,0,1,100.0,20,0,0
B Lloyd,STL,1,20,4,20.0,0,1,100.0,20,0,0
A McCoy,SEA,1,20,6,20.0,0,1,100.0,20,0,0
B LaFell,CAR,1,20,2,20.0,0,1,100.0,20,0,0
R Wayne,IND,4,77,7,19.3,0,4,100.0,26,0,0
D Walker,SF,2,37,3,18.5,1,2,100.0,26,0,0
D Bowe,KC,7,128,11,18.3,2,7,100.0,41,0,0
M Crabtree,SF,2,36,5,18.0,0,2,100.0,21,0,0
A Green,CIN,5,90,8,18.0,1,4,80.0,37,0,0
M Thomas,JAX,3,53,7,17.7,0,2,66.7,24,1,0
D Jackson,PHI,5,86,7,17.2,1,4,80.0,31,0,0
B Pascoe,NYG,1,17,1,17.0,0,1,100.0,17,0,0
D Baldwin,SEA,8,136,9,17.0,1,6,75.0,27,0,0
J Finley,GB,4,67,7,16.8,0,3,75.0,24,0,0
L Fitzgerald,ARZ,4,66,8,16.5,0,3,75.0,22,0,0
H Nicks,NYG,4,65,7,16.3,1,4,100.0,19,0,0
K Walter,HOU,5,81,6,16.2,1,4,80.0,41,0,0
J Graham,NO,8,129,12,16.1,0,7,87.5,30,0,0
J Jones,ATL,1,16,4,16.0,0,1,100.0,16,0,0
L Naanee,CAR,4,63,8,15.8,0,2,50.0,28,0,0
D Fells,DEN,3,47,4,15.7,0,2,66.7,31,0,0
G Tate,SEA,2,31,3,15.5,0,1,50.0,17,0,0
L Blount,TB,2,31,3,15.5,0,1,50.0,29,0,0
J Avant,PHI,9,139,10,15.4,0,6,66.7,35,1,1
H Miller,PIT,3,46,4,15.3,1,3,100.0,20,0,0
A Benn,TB,3,46,4,15.3,0,2,66.7,33,0,0
S Holmes,NYJ,4,60,6,15.0,1,3,75.0,21,0,0
J Morgan,SF,5,75,6,15.0,0,4,80.0,24,0,0
T Crabtree,GB,1,15,1,15.0,0,1,100.0,15,0,0
J Cook,TEN,4,59,9,14.8,0,3,75.0,19,0,0
F Jackson,BUF,6,85,6,14.2,0,2,33.3,49,0,0
D Heyward-Bey,OAK,7,99,12,14.1,1,2,28.6,34,0,0
P Burress,NYJ,3,42,8,14.0,0,3,100.0,19,0,0
