Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
C Stevens,TEN,1,58,1,58.0,0,1,100.0,58,0,0
V Cruz,NYG,3,110,5,36.7,2,2,66.7,74,0,0
K Davis,CHI,1,32,2,32.0,1,1,100.0,32,0,0
T Smith,BAL,5,152,8,30.4,3,4,80.0,74,0,0
M Wallace,PIT,5,144,7,28.8,1,4,80.0,81,0,0
A Fasano,MIA,1,26,2,26.0,0,1,100.0,26,0,0
J Casey,HOU,5,126,7,25.2,1,4,80.0,62,0,0
J Graham,NO,4,100,8,25.0,1,4,100.0,32,0,0
L Tomlinson,NYJ,5,116,7,23.2,1,2,40.0,74,0,0
F Davis,WSH,1,23,3,23.0,0,1,100.0,23,0,0
M Moore,PIT,1,22,1,22.0,0,1,100.0,22,0,0
B Hartline,MIA,4,87,4,21.8,0,4,100.0,38,0,0
B Jacobs,NYG,2,42,3,21.0,1,1,50.0,40,0,0
D Fells,DEN,2,42,4,21.0,0,2,100.0,32,0,0
J Knox,CHI,4,84,9,21.0,0,3,75.0,40,0,0
D Henderson,NO,3,62,4,20.7,0,2,66.7,44,0,0
D Hester,CHI,3,62,5,20.7,0,2,66.7,37,0,0
D Jones,BUF,5,101,10,20.2,0,3,60.0,48,0,0
J Jones,ATL,6,115,7,19.2,0,5,83.3,49,0,0
S Holmes,NYJ,1,19,2,19.0,0,1,100.0,19,0,0
D Williams,TEN,1,19,3,19.0,0,1,100.0,19,0,0
A Brown,PIT,4,75,8,18.8,0,4,100.0,21,0,0
P Burress,NYJ,3,55,6,18.3,1,3,100.0,24,0,0
S Breaston,KC,3,55,6,18.3,0,2,66.7,43,0,0
A Johnson,HOU,7,128,12,18.3,0,6,85.7,48,0,0
K Boss,OAK,2,36,2,18.0,0,1,50.0,28,0,0
M Bush,OAK,2,35,2,17.5,0,1,50.0,28,0,0
F Jackson,BUF,5,87,6,17.4,0,3,60.0,38,0,0
D Keller,NYJ,5,87,9,17.4,0,4,80.0,33,0,0
S Hurd,CHI,1,17,1,17.0,0,1,100.0,17,0,0
C Harbor,PHI,1,17,1,17.0,0,1,100.0,17,0,0
D Bowe,KC,4,67,6,16.8,1,4,100.0,23,0,0
R Rice,BAL,5,83,7,16.6,0,5,100.0,22,0,0
L Stocker,TB,2,33,2,16.5,0,2,100.0,24,0,0
J Cribbs,CLE,3,49,6,16.3,1,2,66.7,33,0,0
L Robinson,DAL,3,49,5,16.3,0,2,66.7,25,1,0
D Bryant,DAL,4,63,4,15.8,0,3,75.0,30,0,0
P Harvin,MIN,3,47,5,15.7,0,2,66.7,21,0,0
R Gronkowski,NE,7,109,9,15.6,2,6,85.7,29,0,0
R White,ATL,9,140,17,15.6,0,8,88.9,30,0,0
C Johnson,DET,7,108,11,15.4,2,5,71.4,40,0,0
O Daniels,HOU,5,76,9,15.2,1,5,100.0,23,0,0
M Jones-Drew,JAX,3,45,3,15.0,0,1,33.3,24,1,0
P Thomas,NO,1,15,1,15.0,0,1,100.0,15,0,0
D Jackson,PHI,2,30,6,15.0,0,2,100.0,17,0,0
T Fiammetta,DAL,1,15,2,15.0,0,1,100.0,15,0,0
J Ballard,NYG,1,15,1,15.0,0,1,100.0,15,0,0
J Best,DET,5,74,7,14.8,0,2,40.0,60,0,0
V Davis,SF,8,114,9,14.3,0,4,50.0,39,1,0
H Miller,PIT,5,71,6,14.2,0,3,60.0,30,0,0
