Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
J Nelson,GB,1,84,2,84.0,1,1,100.0,84,0,0
T Gerhart,MIN,1,42,1,42.0,0,1,100.0,42,0,0
D Alexander,STL,3,122,7,40.7,1,3,100.0,68,0,0
T Scheffler,DET,1,36,4,36.0,1,1,100.0,36,0,0
D Henderson,NO,3,103,3,34.3,1,2,66.7,79,0,0
G Olsen,CAR,1,34,4,34.0,0,1,100.0,34,0,0
J Simpson,CIN,4,136,9,34.0,0,3,75.0,84,0,0
M Turner,ATL,1,32,1,32.0,0,1,100.0,32,0,0
J Holley,DAL,3,96,3,32.0,0,2,66.7,77,0,0
M Floyd,SD,2,59,2,29.5,0,2,100.0,36,0,0
D Moore,OAK,5,146,8,29.2,1,5,100.0,50,0,0
J Avant,PHI,1,29,4,29.0,0,1,100.0,29,0,0
G Jennings,GB,2,55,8,27.5,1,1,50.0,49,0,0
S Smith,CAR,6,156,13,26.0,0,5,83.3,62,1,1
L Kendricks,STL,1,26,4,26.0,0,1,100.0,26,0,0
K Ogletree,DAL,2,50,4,25.0,0,2,100.0,33,0,0
J Dillard,JAX,1,25,2,25.0,0,1,100.0,25,0,0
A Benn,TB,1,25,2,25.0,1,1,100.0,25,0,0
E Decker,DEN,5,113,9,22.6,2,3,60.0,52,1,1
C Johnson,NE,2,45,2,22.5,0,2,100.0,30,0,0
L Evans,BAL,2,45,5,22.5,0,2,100.0,32,0,0
J Knox,CHI,2,45,6,22.5,0,2,100.0,30,0,0
E Sanders,PIT,2,44,3,22.0,0,2,100.0,30,0,0
R Gronkowski,NE,4,86,6,21.5,2,4,100.0,30,0,0
B Edwards,SF,1,21,2,21.0,0,1,100.0,21,0,0
D Bess,MIA,2,42,5,21.0,0,1,50.0,41,0,0
D Bowe,KC,5,101,8,20.2,0,5,100.0,45,0,0
L Fitzgerald,ARZ,7,133,9,19.0,1,5,71.4,73,0,0
D Walker,SF,2,38,4,19.0,1,1,50.0,29,0,0
J Shockey,CAR,3,56,5,18.7,0,3,100.0,23,0,0
M Manningham,NYG,3,56,7,18.7,0,2,66.7,31,0,0
J Cook,TEN,2,37,3,18.5,0,1,50.0,33,0,0
J King,ARZ,2,36,2,18.0,1,2,100.0,21,0,0
B Hartline,MIA,2,36,7,18.0,0,2,100.0,25,0,0
T Young,DET,5,89,7,17.8,0,2,40.0,43,0,0
V Jackson,SD,10,172,15,17.2,2,10,100.0,29,0,0
B Berrian,MIN,1,17,4,17.0,0,1,100.0,17,0,0
B Jacobs,NYG,1,17,1,17.0,0,1,100.0,17,0,0
D Hester,CHI,1,17,9,17.0,0,1,100.0,17,0,0
E Williams,SEA,1,17,1,17.0,0,1,100.0,17,0,0
L Stocker,TB,1,17,1,17.0,0,1,100.0,17,0,0
D Keller,NYJ,6,101,6,16.8,1,4,66.7,37,0,0
A Brown,PIT,4,67,6,16.8,0,2,50.0,19,0,0
R Wayne,IND,4,66,8,16.5,0,3,75.0,20,0,0
P Parker,TB,6,98,7,16.3,0,4,66.7,51,0,0
D Branch,NE,8,129,10,16.1,0,6,75.0,33,0,0
B Johnson,HOU,1,16,1,16.0,0,1,100.0,16,0,0
R Parrish,BUF,1,16,2,16.0,0,1,100.0,16,0,0
H Miller,PIT,1,16,3,16.0,0,1,100.0,16,0,0
J Jones,HOU,3,48,4,16.0,0,1,33.3,31,0,0
