Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Briscoe,TB,1,46,2,46.0,0,1,100.0,46,0,0
J Jones,ATL,3,131,4,43.7,2,2,66.7,80,0,0
B Miller,SF,1,30,1,30.0,1,1,100.0,30,0,0
D Thomas,DEN,1,29,2,29.0,0,1,100.0,29,0,0
T Houshmandzadeh,OAK,1,28,4,28.0,0,1,100.0,28,0,0
S Johnson,BUF,3,84,6,28.0,0,2,66.7,52,0,0
M Austin,DAL,2,53,3,26.5,0,2,100.0,37,0,0
C Stevens,TEN,1,25,1,25.0,0,1,100.0,25,0,0
D Johnson,PIT,1,25,2,25.0,0,1,100.0,25,0,0
S Rice,SEA,3,69,8,23.0,0,3,100.0,43,0,0
L Murphy,OAK,1,23,1,23.0,0,1,100.0,23,0,0
A McCoy,SEA,2,44,2,22.0,0,2,100.0,31,0,0
A Brown,PIT,5,109,11,21.8,0,5,100.0,32,0,0
J Jones,GB,1,21,1,21.0,1,1,100.0,21,0,0
J Nelson,GB,5,105,6,21.0,1,3,60.0,64,0,0
J Ford,OAK,5,105,6,21.0,1,5,100.0,34,1,0
V Jackson,SD,7,141,12,20.1,3,7,100.0,38,0,0
V Brown,SD,4,79,6,19.8,0,4,100.0,31,0,0
R White,ATL,4,76,9,19.0,0,4,100.0,33,0,0
A Fasano,MIA,2,38,3,19.0,2,2,100.0,35,0,0
E Bennett,CHI,5,95,5,19.0,1,5,100.0,28,0,0
D Bryant,DAL,4,76,9,19.0,0,2,50.0,39,1,1
P Parker,TB,3,56,4,18.7,0,2,66.7,36,0,0
J Witten,DAL,4,71,7,17.8,1,2,50.0,33,0,0
M Reece,OAK,3,51,5,17.0,1,1,33.3,40,0,0
M Wallace,PIT,4,68,6,17.0,1,2,50.0,25,1,1
J Ballard,NYG,4,67,7,16.8,1,3,75.0,30,0,0
R Bush,MIA,3,50,3,16.7,0,2,66.7,27,0,0
C Clay,MIA,3,50,3,16.7,0,3,100.0,22,0,0
M Bush,OAK,2,33,3,16.5,1,2,100.0,22,0,0
G Little,CLE,2,33,9,16.5,0,1,50.0,24,0,0
S Breaston,KC,7,115,11,16.4,0,4,57.1,37,0,0
D Lee,CIN,3,49,4,16.3,0,2,66.7,25,0,0
B Lloyd,STL,5,80,13,16.0,0,3,60.0,26,0,0
D Keller,NYJ,4,64,7,16.0,0,4,100.0,24,0,0
J Rodgers,ATL,1,16,1,16.0,0,0,0.0,16,0,0
P Burress,NYJ,5,79,5,15.8,0,4,80.0,19,0,0
J Maclin,PHI,4,63,9,15.8,0,3,75.0,31,0,0
E Decker,DEN,3,47,5,15.7,1,2,66.7,27,0,0
R Williams,CHI,3,46,6,15.3,0,3,100.0,18,0,0
D Moore,OAK,4,61,12,15.3,0,4,100.0,24,0,0
V Cruz,NYG,6,91,11,15.2,0,6,100.0,23,0,0
W Welker,NE,9,136,10,15.1,0,5,55.6,28,0,0
B Edwards,SF,2,30,3,15.0,0,2,100.0,24,0,0
M Tolbert,SD,4,59,9,14.8,0,3,75.0,27,0,0
J Cotchery,PIT,3,44,6,14.7,0,3,100.0,17,0,0
D Bowe,KC,6,88,10,14.7,0,3,50.0,31,0,0
H Miller,PIT,5,73,6,14.6,0,4,80.0,30,0,0
J Simpson,CIN,3,43,10,14.3,1,3,100.0,18,0,0
T Smith,BAL,5,71,10,14.2,1,3,60.0,29,0,0
