Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
D Bryant,DAL,1,50,2,50.0,1,1,100.0,50,0,0
M Lewis,JAX,2,77,7,38.5,0,2,100.0,62,0,0
J Jones,ATL,3,104,8,34.7,2,3,100.0,75,0,0
L Robinson,DAL,4,137,5,34.3,1,4,100.0,74,0,0
V Davis,SF,1,32,3,32.0,0,1,100.0,32,0,0
C Stevens,TEN,1,31,3,31.0,0,1,100.0,31,0,0
M Manningham,NYG,2,62,8,31.0,1,2,100.0,47,0,0
D Williams,TEN,2,62,10,31.0,0,1,50.0,54,0,0
A Brown,PIT,5,151,8,30.2,1,5,100.0,79,0,0
S Johnson,BUF,4,116,10,29.0,0,4,100.0,53,0,0
R Cooper,PHI,1,29,3,29.0,0,1,100.0,29,0,0
S Moss,WSH,3,81,9,27.0,1,3,100.0,49,0,0
J Nelson,GB,3,81,7,27.0,1,3,100.0,37,0,0
R Gronkowski,NE,6,160,10,26.7,2,5,83.3,50,0,0
G Olsen,CAR,2,53,6,26.5,1,2,100.0,44,0,0
L Kendricks,STL,1,26,2,26.0,0,1,100.0,26,0,0
L Tomlinson,NYJ,2,50,4,25.0,1,2,100.0,31,0,0
E Doucet,ARZ,3,73,4,24.3,1,3,100.0,60,0,0
D Stallworth,WSH,4,96,6,24.0,0,4,100.0,51,0,0
B Hartline,MIA,1,24,1,24.0,0,1,100.0,24,0,0
A McCoy,SEA,1,23,1,23.0,0,1,100.0,23,0,0
R Cobb,GB,2,45,2,22.5,0,2,100.0,26,0,0
E Lorig,TB,1,22,1,22.0,0,1,100.0,22,0,0
A Hawkins,CIN,1,22,1,22.0,0,1,100.0,22,0,0
T Young,DET,4,87,7,21.8,1,3,75.0,57,0,0
N Washington,TEN,6,130,9,21.7,1,5,83.3,40,0,0
L Fitzgerald,ARZ,7,149,9,21.3,1,4,57.1,53,0,0
L Evans,BAL,1,21,3,21.0,0,1,100.0,21,0,0
S Smith,CAR,6,125,8,20.8,0,5,83.3,48,0,0
H Nicks,NYG,8,163,11,20.4,0,6,75.0,64,0,0
S Jackson,STL,3,60,5,20.0,0,2,66.7,50,0,0
J Rodgers,ATL,2,39,2,19.5,1,1,50.0,31,0,0
S Greene,NYJ,3,58,3,19.3,0,2,66.7,36,0,0
K Winslow,TB,2,38,5,19.0,0,2,100.0,28,0,0
J Cribbs,CLE,2,38,2,19.0,0,2,100.0,25,0,0
J Simpson,CIN,2,38,6,19.0,1,2,100.0,21,0,0
D Driver,GB,4,75,6,18.8,0,3,75.0,28,0,0
M Willis,DEN,4,75,8,18.8,0,4,100.0,23,0,0
A Fasano,MIA,3,56,8,18.7,0,3,100.0,25,0,0
J Avant,PHI,2,35,4,17.5,0,2,100.0,28,0,0
L Murphy,OAK,4,70,9,17.5,0,4,100.0,24,0,0
R McMichael,SD,1,17,1,17.0,0,0,0.0,17,0,0
J Baker,NYJ,1,17,1,17.0,0,1,100.0,17,0,0
A Hernandez,NE,5,84,7,16.8,0,4,80.0,29,0,0
J Cotchery,PIT,2,33,3,16.5,1,2,100.0,22,0,0
B Lloyd,STL,5,82,12,16.4,0,3,60.0,37,0,0
L Hawkins,TEN,3,49,4,16.3,0,2,66.7,25,0,0
M Barber,CHI,2,32,4,16.0,0,1,50.0,16,0,0
M Austin,DAL,4,63,7,15.8,1,4,100.0,23,0,0
D Heyward-Bey,OAK,5,78,11,15.6,0,4,80.0,34,0,0
