Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
A Armstrong,WSH,1,50,1,50.0,1,1,100.0,50,0,0
A Green,CIN,3,110,4,36.7,0,3,100.0,51,0,0
J Knox,CHI,4,145,10,36.3,1,4,100.0,81,0,0
J Jones,GB,3,94,4,31.3,1,2,66.7,65,0,0
L Murphy,OAK,2,53,4,26.5,0,1,50.0,47,0,0
M Colston,NO,3,78,6,26.0,0,3,100.0,50,0,0
C Harbor,PHI,1,25,1,25.0,0,1,100.0,25,0,0
C Shorts,JAX,1,25,3,25.0,0,1,100.0,25,0,0
R Wayne,IND,5,122,7,24.4,1,4,80.0,56,0,0
B Myers,OAK,1,24,1,24.0,0,1,100.0,24,0,0
R Cooper,PHI,3,71,5,23.7,0,2,66.7,58,0,0
D Rosario,DEN,1,23,1,23.0,0,1,100.0,23,0,0
S Smith,CAR,3,68,7,22.7,0,3,100.0,30,0,0
H Douglas,ATL,2,45,5,22.5,1,2,100.0,27,0,0
E Decker,DEN,3,65,6,21.7,1,3,100.0,39,0,0
D Branch,NE,6,125,10,20.8,0,5,83.3,63,0,0
B Marshall,MIA,5,103,11,20.6,1,3,60.0,39,0,0
A Brown,PIT,4,81,6,20.3,0,4,100.0,34,0,0
J Dreessen,HOU,1,20,1,20.0,1,1,100.0,20,0,0
H Miller,PIT,1,20,2,20.0,0,1,100.0,20,0,0
M Lynch,SEA,1,20,3,20.0,1,1,100.0,20,0,0
B Smith,BUF,4,77,7,19.3,1,3,75.0,36,0,0
B Hartline,MIA,4,77,5,19.3,0,3,75.0,41,0,0
J Finley,GB,2,38,5,19.0,0,2,100.0,26,0,0
D Fells,DEN,1,19,1,19.0,0,1,100.0,19,1,0
L Blount,TB,3,56,3,18.7,0,2,66.7,35,1,1
M Reece,OAK,5,92,7,18.4,0,3,60.0,47,0,0
L Fitzgerald,ARZ,3,55,9,18.3,0,2,66.7,41,0,0
D Jackson,PHI,4,73,10,18.3,0,2,50.0,44,0,0
D Aromashodu,MIN,1,18,5,18.0,0,0,0.0,18,0,0
V Cruz,NYG,9,157,12,17.4,2,7,77.8,72,0,0
J Norwood,CLE,4,69,5,17.3,1,3,75.0,36,0,0
D Brown,IND,1,17,1,17.0,0,1,100.0,17,0,0
J Graham,NO,5,84,8,16.8,2,4,80.0,29,0,0
M Jones-Drew,JAX,4,67,6,16.8,0,2,50.0,31,0,0
V Brown,SD,3,50,10,16.7,0,3,100.0,30,0,0
A Fasano,MIA,2,32,2,16.0,0,2,100.0,19,0,0
C Hall,PHI,1,16,5,16.0,0,0,0.0,16,0,0
A Boldin,BAL,4,63,9,15.8,0,4,100.0,22,0,0
P Thomas,NO,3,47,3,15.7,0,2,66.7,24,0,0
J Ballard,NYG,3,47,5,15.7,0,3,100.0,24,0,0
D Keller,NYJ,4,61,8,15.3,2,4,100.0,22,0,0
M Sellers,WSH,1,15,1,15.0,0,1,100.0,15,0,0
D Driver,GB,1,15,2,15.0,0,1,100.0,15,0,0
B Celek,PHI,5,75,6,15.0,0,3,60.0,24,0,0
B Gibson,STL,2,30,7,15.0,0,2,100.0,22,0,0
G Tate,SEA,1,15,3,15.0,1,1,100.0,15,0,0
E Dickson,BAL,1,15,2,15.0,0,1,100.0,15,0,0
A Pettis,STL,3,45,4,15.0,0,1,33.3,35,0,0
B Lloyd,STL,5,74,10,14.8,1,4,80.0,26,0,0
