Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
R Grant,GB,1,80,3,80.0,1,1,100.0,80,0,0
R Lockette,SEA,1,61,2,61.0,1,1,100.0,61,0,0
B Green-Ellis,NE,1,53,1,53.0,0,1,100.0,53,0,0
M Mulligan,NYJ,1,41,1,41.0,0,1,100.0,41,0,0
D Moore,OAK,3,101,6,33.7,0,2,66.7,78,0,0
M Williams,TB,1,31,2,31.0,0,1,100.0,31,0,0
V Cruz,NYG,6,178,11,29.7,1,5,83.3,74,0,0
D Driver,GB,2,52,4,26.0,1,2,100.0,35,0,0
D Henderson,NO,2,48,2,24.0,0,2,100.0,31,0,0
G Graham,HOU,1,24,1,24.0,0,1,100.0,24,0,0
R Helu,WSH,2,48,2,24.0,1,1,50.0,47,0,0
P Crayton,SD,1,23,1,23.0,0,1,100.0,23,0,0
N Washington,TEN,4,92,9,23.0,1,3,75.0,55,0,0
C West,JAX,1,23,2,23.0,1,1,100.0,23,0,0
B Johnson,HOU,2,45,2,22.5,1,2,100.0,40,0,0
C Johnson,DET,11,244,17,22.2,1,11,100.0,41,0,0
D Jackson,PHI,4,86,6,21.5,1,3,75.0,62,0,0
A Gates,SD,5,106,5,21.2,1,4,80.0,38,0,0
B Gibson,STL,1,21,3,21.0,0,1,100.0,21,0,0
M Colston,NO,7,145,10,20.7,2,6,85.7,42,0,0
E Dickson,BAL,1,20,1,20.0,0,1,100.0,20,0,0
A Hernandez,NE,7,138,11,19.7,1,5,71.4,44,0,0
C Mitchell,CLE,1,19,1,19.0,0,1,100.0,19,0,0
J Jones,ATL,4,76,5,19.0,2,2,50.0,48,0,0
P Parker,TB,4,74,6,18.5,0,2,50.0,48,0,0
M Floyd,SD,7,127,9,18.1,1,7,100.0,43,0,0
J Nelson,GB,9,162,15,18.0,3,6,66.7,58,0,0
L Kendricks,STL,3,54,8,18.0,0,3,100.0,22,0,0
J Kerley,NYJ,4,71,6,17.8,0,4,100.0,30,0,0
D Aromashodu,MIN,3,53,11,17.7,0,3,100.0,19,0,0
T Heap,ARZ,2,35,2,17.5,1,2,100.0,22,0,0
R White,ATL,4,69,9,17.3,0,4,100.0,23,0,0
A Arrington,NO,1,17,1,17.0,0,1,100.0,17,0,0
B Lloyd,STL,6,100,11,16.7,1,3,50.0,36,0,0
B Pettigrew,DET,7,116,11,16.6,0,5,71.4,26,0,0
L Fitzgerald,ARZ,9,149,18,16.6,0,6,66.7,41,0,0
T Scheffler,DET,4,65,6,16.3,1,4,100.0,26,0,0
J Cook,TEN,4,63,7,15.8,0,3,75.0,25,0,0
D Bowe,KC,6,93,6,15.5,0,4,66.7,22,0,0
L Robinson,DAL,4,61,5,15.3,2,3,75.0,34,0,0
H Nicks,NYG,5,76,6,15.2,1,4,80.0,36,0,0
S Moss,WSH,3,45,9,15.0,0,2,66.7,22,0,0
R Williams,CHI,4,60,7,15.0,1,3,75.0,22,0,0
S Jackson,STL,1,15,2,15.0,0,1,100.0,15,0,0
D Avery,TEN,3,45,6,15.0,1,3,100.0,23,0,0
R Meachem,NO,2,30,2,15.0,0,2,100.0,16,0,0
A Brown,PIT,6,90,10,15.0,0,5,83.3,40,0,0
J Cameron,CLE,1,15,5,15.0,0,1,100.0,15,0,0
J Jones,GB,6,89,8,14.8,0,5,83.3,40,0,0
V Davis,SF,8,118,9,14.8,0,3,37.5,44,0,0
