Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
N Roosevelt,BUF,1,60,2,60.0,1,1,100.0,60,0,0
J Nelson,GB,2,104,3,52.0,1,2,100.0,93,0,0
M Wallace,PIT,2,76,6,38.0,1,2,100.0,48,0,0
J Jones,GB,1,35,1,35.0,1,1,100.0,35,0,0
K Boss,OAK,1,35,1,35.0,1,1,100.0,35,0,0
E Sanders,PIT,1,32,4,32.0,0,1,100.0,32,0,0
T Austin,WSH,1,32,1,32.0,0,1,100.0,32,0,0
H Douglas,ATL,2,57,4,28.5,0,2,100.0,34,0,0
T Smith,BAL,3,84,5,28.0,0,3,100.0,51,0,0
A Benn,TB,3,83,6,27.7,1,2,66.7,65,0,0
J Gaffney,WSH,2,55,10,27.5,0,2,100.0,45,0,0
D Keller,NYJ,2,51,5,25.5,0,2,100.0,27,0,0
D Briscoe,TB,2,49,2,24.5,0,2,100.0,32,0,0
H Nicks,NYG,4,96,7,24.0,0,3,75.0,60,0,0
D Branch,NE,3,69,5,23.0,0,3,100.0,45,0,0
L Moore,NO,2,46,3,23.0,0,1,50.0,40,0,0
G Camarillo,MIN,1,23,3,23.0,0,1,100.0,23,0,0
R Meachem,NO,1,23,2,23.0,0,1,100.0,23,0,0
L Robinson,DAL,2,43,2,21.5,0,2,100.0,32,0,0
S Holmes,NYJ,3,63,4,21.0,1,2,66.7,38,0,0
J Knox,CHI,2,41,4,20.5,0,2,100.0,22,0,0
J Maclin,PHI,5,101,7,20.2,0,3,60.0,59,0,0
J Finley,GB,1,20,4,20.0,0,1,100.0,20,0,0
D Bryant,DAL,4,78,8,19.5,0,4,100.0,33,0,0
S Moss,WSH,2,38,6,19.0,0,2,100.0,23,0,0
B Leonard,CIN,2,38,2,19.0,0,2,100.0,25,0,0
J Jones,HOU,4,76,7,19.0,1,4,100.0,32,0,0
D Hester,CHI,5,91,7,18.2,1,3,60.0,48,0,0
B Marshall,MIA,6,109,13,18.2,0,5,83.3,46,0,0
L Kendricks,STL,4,71,6,17.8,0,1,25.0,45,0,0
J Graham,NO,7,124,11,17.7,0,6,85.7,43,0,0
M Colston,NO,7,118,11,16.9,1,4,57.1,38,0,0
J Simpson,CIN,6,101,9,16.8,0,4,66.7,32,0,0
R Williams,CHI,3,50,4,16.7,0,3,100.0,17,0,0
A Boldin,BAL,8,132,9,16.5,0,7,87.5,56,0,0
J Ballard,NYG,5,81,5,16.2,0,4,80.0,24,0,0
C Johnson,DET,7,113,9,16.1,0,6,85.7,41,0,0
P Burress,NYJ,1,16,4,16.0,0,1,100.0,16,0,0
A Brown,PIT,1,16,2,16.0,0,1,100.0,16,0,0
P Parker,TB,2,32,5,16.0,1,1,50.0,19,0,0
F Davis,WSH,6,95,11,15.8,0,5,83.3,31,0,0
H Ward,PIT,3,47,4,15.7,0,3,100.0,19,0,0
L Naanee,CAR,2,31,2,15.5,0,2,100.0,17,0,0
D Nelson,BUF,4,62,6,15.5,0,4,100.0,32,0,0
D Jackson,PHI,3,46,7,15.3,0,2,66.7,23,0,0
D Alexander,STL,6,91,10,15.2,0,4,66.7,32,0,0
J Shockey,CAR,4,60,7,15.0,0,3,75.0,29,1,0
J Cribbs,CLE,2,30,5,15.0,0,1,50.0,23,0,0
L Hilliard,MIA,1,15,1,15.0,0,1,100.0,15,0,0
M Lewis,JAX,2,29,8,14.5,0,1,50.0,21,0,0
