Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
P Garcon,IND,2,146,8,73.0,2,2,100.0,87,0,0
J Cook,TEN,2,93,6,46.5,1,2,100.0,80,0,0
A Benn,TB,1,43,1,43.0,0,1,100.0,43,0,0
R Cobb,GB,2,75,3,37.5,0,2,100.0,61,0,0
V Jackson,SD,3,108,4,36.0,1,3,100.0,55,0,0
D Aromashodu,MIN,1,34,2,34.0,1,1,100.0,34,0,0
R Rice,BAL,2,64,5,32.0,0,2,100.0,52,0,0
N Washington,TEN,2,62,4,31.0,0,1,50.0,57,0,0
K Hunter,SF,2,62,5,31.0,0,2,100.0,44,0,0
A Green,CIN,4,118,10,29.5,0,4,100.0,58,0,0
D Heyward-Bey,OAK,4,115,7,28.8,0,4,100.0,58,0,0
D Jackson,PHI,6,171,9,28.5,0,4,66.7,61,0,0
A Boldin,BAL,1,28,2,28.0,0,1,100.0,28,0,0
N Roosevelt,BUF,1,28,1,28.0,0,1,100.0,28,0,0
S Rice,SEA,3,79,6,26.3,1,2,66.7,52,0,0
S Breaston,KC,4,91,5,22.8,0,3,75.0,42,0,0
S Smith,CAR,8,181,10,22.6,0,6,75.0,53,0,0
J Morgan,SF,3,65,3,21.7,1,2,66.7,30,0,0
A Hawkins,CIN,2,43,3,21.5,0,2,100.0,25,0,0
D Bowe,KC,5,107,9,21.4,1,4,80.0,52,0,0
J Shockey,CAR,2,41,5,20.5,0,2,100.0,26,0,0
B Berrian,MIN,1,20,6,20.0,0,1,100.0,20,0,0
K Boss,OAK,4,78,5,19.5,0,3,75.0,23,0,0
M Wallace,PIT,4,77,4,19.3,0,2,50.0,40,0,0
H Ward,PIT,1,19,4,19.0,0,1,100.0,19,0,0
L Hawkins,TEN,2,38,4,19.0,0,2,100.0,20,0,0
J Norwood,CLE,1,19,1,19.0,0,1,100.0,19,0,0
D Mason,HOU,2,37,3,18.5,0,1,50.0,30,0,0
C Harbor,PHI,3,55,3,18.3,1,3,100.0,27,0,0
J Nelson,GB,5,91,6,18.2,1,2,40.0,50,0,0
L Hilliard,MIA,1,18,1,18.0,0,1,100.0,18,0,0
W Welker,NE,9,158,14,17.6,1,6,66.7,32,0,0
J Gresham,CIN,4,70,7,17.5,1,3,75.0,25,0,0
B Lloyd,STL,8,136,11,17.0,0,7,87.5,44,0,0
J Hill,JAX,2,34,9,17.0,0,2,100.0,18,0,0
C Clay,MIA,2,34,2,17.0,0,1,50.0,31,0,0
D Baldwin,SEA,5,84,6,16.8,0,5,100.0,30,0,0
L Robinson,DAL,7,116,10,16.6,0,7,100.0,44,0,0
V Cruz,NYG,6,98,9,16.3,0,5,83.3,26,0,0
H Nicks,NYG,10,162,14,16.2,1,7,70.0,29,0,0
J Jones,GB,3,48,4,16.0,1,3,100.0,18,0,0
J Knox,CHI,3,48,4,16.0,0,3,100.0,22,0,0
D Sanzenbacher,CHI,1,16,2,16.0,0,1,100.0,16,0,0
R Housler,ARZ,1,16,1,16.0,0,0,0.0,16,0,0
C West,JAX,1,16,1,16.0,0,1,100.0,16,0,0
J Gaffney,WSH,4,62,4,15.5,0,4,100.0,20,0,0
D Clark,IND,3,46,4,15.3,0,3,100.0,21,0,0
D Alexander,STL,3,46,8,15.3,0,2,66.7,25,0,0
R Williams,CHI,1,15,1,15.0,0,1,100.0,15,0,0
B Leonard,CIN,1,15,2,15.0,0,1,100.0,15,0,0
